filename,url,pageUrl,pageTitle,semanticPath,tag,role,format,width,height,alt,downloaded
"galapagos-hotel__div.header-content_a.css-1yw7q50_figure_div.responsive-image__img__galapagos-hotel-com__0.png","https://l.icdbcdn.com/oh/39dab0af-a601-4fdd-b952-6513d563cd8f.png?w=200","https://galapagos-hotel.com/","galapagos hotel","div.header-content › a.css-1yw7q50 › figure › div.responsive-image-wrapper.logo-image › img.image.css-m6t9z1","img","icon","png","0","0","galapagos-hotel.com","true"
"galapagos-hotel__div.header-content_a.css-1yw7q50_figure_div.responsive-image__imgsrcset__galapagos-hotel-com__2.png","https://l.icdbcdn.com/oh/39dab0af-a601-4fdd-b952-6513d563cd8f.png?w=400","https://galapagos-hotel.com/","galapagos hotel","div.header-content › a.css-1yw7q50 › figure › div.responsive-image-wrapper.logo-image › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","galapagos-hotel.com","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__img__3.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=1920","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img","hero","png","1536","1024","","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__imgsrcset__4.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=320","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__imgsrcset__5.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=575","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__imgsrcset__6.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=768","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__imgsrcset__7.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=992","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div.TidewayTwo.false_article_figure_div.responsive-image-wra__imgsrcset__8.png","https://l.icdbcdn.com/oh/e46d03c3-56ab-489f-9a79-64620fbf428d.png?w=1200","https://galapagos-hotel.com/","galapagos hotel","div.TidewayTwo.false › article › figure › div.responsive-image-wrapper.styled-override › img.image.css-m6t9z1","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__img__10.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=1040","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__11.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=320","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__12.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=575","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__13.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=768","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__14.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=992","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__15.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=1200","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect10752457_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__16.jpg","https://l.icdbcdn.com/oh/5c645517-9664-494f-bc69-75f85e3022d9.jpg?w=1920","https://galapagos-hotel.com/","galapagos hotel","div#sect10752457 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__img__17.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=1040","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__18.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=320","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__19.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=575","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__20.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=768","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__21.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=992","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__22.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=1200","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334416_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__23.jpg","https://l.icdbcdn.com/oh/92fedfe4-1930-4b0a-a471-8f694a2cb1a8.jpg?w=1920","https://galapagos-hotel.com/","galapagos hotel","div#sect3334416 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__img__24.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=1040","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__25.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=320","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__26.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=575","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__27.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=768","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__28.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=992","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__29.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=1200","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div#sect3334417_div.css-jbvua0_figure_div.responsive-image-w__imgsrcset__30.jpg","https://l.icdbcdn.com/oh/72cb6c7a-2ca3-4895-99ac-003a060b28b2.jpg?w=1920","https://galapagos-hotel.com/","galapagos hotel","div#sect3334417 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","jpg","0","0","","true"
"galapagos-hotel__div.css-jbvua0_div#3334414_div.css-1hxy447_figure_img__img__31.png","https://l.icdbcdn.com/oh/d323856f-ea3e-4300-bb0e-8f84d293ac56.png?f=32&w=1087","https://galapagos-hotel.com/","galapagos hotel","div.css-jbvua0 › div#3334414 › div.css-1hxy447 › figure › img","img","hero","png","1087","1447","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__img__32.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=1040","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img","icon","png","0","0","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__33.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=320","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__34.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=575","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__35.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=768","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__36.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=992","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","png","0","0","","true"
"galapagos-hotel__div#sect10819131_div.css-jbvua0_figure_div.responsive-image-__imgsrcset__37.png","https://l.icdbcdn.com/oh/89aac96a-bb96-4b57-865b-62b9419516ec.png?w=1200","https://galapagos-hotel.com/","galapagos hotel","div#sect10819131 › div.css-jbvua0 › figure › div.responsive-image-wrapper.isPlaceholder › img.image.css-ztfysw","img[srcset]","icon","png","0","0","","true"
